height,prop_time_lower_bound,node_count,size
1788130,0,1,11470
1788131,0,1,71512
1788132,0,1,24394
1788133,0,1,24697
1788134,0,1,15760
1788135,0,1,15745
1788136,0,1,21533
1788137,0,1,14910
1788138,0,1,87559
1788139,0,1,33631
1788140,0,1,3634
1788141,0,1,2696
1788142,0,1,38588
1788143,0,1,164963
1788144,0,1,94
1788145,0,1,56710
1788146,0,1,94
1788147,0,1,6292
1788148,0,1,7910
1788149,0,1,44629
1788150,0,1,16628
1788151,0,1,17769
1788152,0,1,7897
1788153,0,1,28128
1788154,0,1,2727
1788155,0,1,44792
1788156,0,1,5294
1788157,0,1,103708
1788158,0,1,21018
1788159,0,1,17983
1788160,0,1,94
1788161,0,1,10650
1788162,0,1,36599
1788163,0,1,94
1788164,0,1,16691
1788165,0,1,26297
1788166,0,1,94
1788167,0,1,20867
1788168,0,1,56432
1788169,0,1,1865
1788170,0,1,88131
1788171,0,1,18840
1788172,0,1,28209
1788173,0,1,90
1788174,0,1,59116
1788175,0,1,29866
1788176,0,1,12255
1788177,0,1,103
1788178,0,1,8756
1788179,0,1,6267
1788180,0,1,13953
1788181,0,1,40751
1788182,0,1,1886
1788183,0,1,13223
1788184,0,1,103
1788185,0,1,194185
1788186,0,1,20643
1788187,0,1,27543
1788188,0,1,1890
1788189,0,1,94
1788190,0,1,90
1788191,0,1,11382
1788192,0,1,87536
1788193,0,1,6021
1788194,0,1,31522
1788195,0,1,86596
1788196,0,1,150
1788197,0,1,15515
1788198,0,1,19886
1788199,0,1,103
1788200,0,1,58478
1788201,0,1,15848
1788202,0,1,3646
1788203,0,1,12375
1788204,0,1,14657
1788205,0,1,94
1788206,0,1,19579
1788207,0,1,82010
1788208,0,1,94
1788209,0,1,103
1788210,0,1,23123
1788211,0,1,93174
1788212,0,1,5444
1788213,0,1,55240
1788214,0,1,103
1788215,0,1,9695
1788216,0,1,1873
1788217,0,1,4461
1788218,0,1,48772
1788219,0,1,94
1788220,0,1,36870
1788221,0,1,15015
1788222,0,1,76254
1788223,0,1,18362
1788224,0,1,1896
1788225,0,1,27868
1788226,0,1,7179
1788227,0,1,17392
1788228,0,1,33211
1788229,0,1,8517
1788230,0,1,13716
1788231,0,1,19165
1788232,0,1,26965
1788233,0,1,19789
1788234,0,1,93162
1788235,0,1,103
1788236,0,1,14157
1788237,0,1,34923
1788238,0,1,99943
1788239,0,1,94
1788240,0,1,103
1788241,0,1,16538
1788242,0,1,37661
1788243,0,1,1863
1788244,0,1,8973
1788245,0,1,1863
